,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2004-05,ATL,82,13,69,0.159,19855,2942,6672,2638,5699,304,973,1417,1994,1100,2335,3435,1614,629,344,1319,2009,7605,0.441,0.463,0.312,0.711,0.504,0.464
2004-05,BOS,82,45,37,0.549,19880,3046,6511,2609,5259,437,1252,1775,2323,909,2438,3347,1810,667,423,1297,2000,8304,0.468,0.496,0.349,0.764,0.551,0.501
2004-05,CHA,82,18,64,0.22,19880,2961,6859,2641,5978,320,881,1487,2096,1083,2335,3418,1794,695,440,1192,1894,7729,0.432,0.442,0.363,0.709,0.497,0.455
2004-05,CHI,82,47,35,0.573,19830,2849,6592,2338,5159,511,1433,1536,2048,1001,2591,3592,1743,576,369,1371,2028,7745,0.432,0.453,0.357,0.75,0.517,0.471
2004-05,CLE,82,42,40,0.512,19855,2990,6687,2690,5783,300,904,1634,2174,1117,2352,3469,1851,654,461,1141,1850,7914,0.447,0.465,0.332,0.752,0.518,0.47
2004-05,DAL,82,58,24,0.707,19730,3058,6691,2595,5418,463,1273,1826,2314,990,2530,3520,1610,708,461,1102,1827,8405,0.457,0.479,0.364,0.789,0.545,0.492
2004-05,DEN,82,49,33,0.598,19755,3038,6615,2718,5675,320,940,1765,2313,967,2473,3440,1958,750,489,1224,1878,8161,0.459,0.479,0.34,0.763,0.535,0.483
2004-05,DET,82,54,28,0.659,19955,2851,6421,2488,5368,363,1053,1588,2150,1054,2507,3561,1787,576,497,1133,1638,7653,0.444,0.463,0.345,0.739,0.519,0.472
2004-05,GSW,82,34,48,0.415,19905,3029,7039,2405,5265,624,1774,1412,1955,1069,2436,3505,1811,642,420,1112,1833,8094,0.43,0.457,0.352,0.722,0.512,0.475
2004-05,HOU,82,51,31,0.622,19855,2846,6419,2293,4898,553,1521,1551,1986,874,2601,3475,1733,563,378,1135,1807,7796,0.443,0.468,0.364,0.781,0.534,0.486
2004-05,IND,82,44,38,0.537,19905,2668,6169,2126,4594,542,1575,1748,2206,868,2418,3286,1489,615,357,1173,1890,7626,0.432,0.463,0.344,0.792,0.534,0.476
2004-05,LAC,82,37,45,0.451,20030,2924,6368,2693,5699,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,7849,0.459,0.473,0.345,0.778,0.533,0.477
2004-05,LAL,82,34,48,0.415,19780,2895,6629,2251,4816,644,1813,1661,2137,1028,2511,3539,1672,508,344,1176,1794,8095,0.437,0.467,0.355,0.777,0.535,0.485
2004-05,MEM,82,45,37,0.549,19705,2802,6271,2271,4785,531,1486,1526,2024,887,2307,3194,1716,699,476,1197,1910,7661,0.447,0.475,0.357,0.754,0.535,0.489
2004-05,MIA,82,59,23,0.72,19980,3097,6368,2622,5108,475,1260,1658,2466,887,2639,3526,1790,528,474,1127,1814,8327,0.486,0.513,0.377,0.672,0.559,0.524
2004-05,MIL,82,30,52,0.366,19780,2964,6580,2639,5655,325,925,1720,2229,985,2405,3390,1720,529,289,1132,1797,7973,0.45,0.467,0.351,0.772,0.527,0.475
2004-05,MIN,82,44,38,0.537,19755,3045,6629,2650,5484,395,1145,1449,1820,947,2580,3527,1918,460,447,1079,1774,7934,0.459,0.483,0.345,0.796,0.534,0.489
2004-05,NJN,82,42,40,0.512,19905,2753,6419,2318,5216,435,1203,1555,2039,855,2387,3242,1772,650,308,1164,1985,7496,0.429,0.444,0.362,0.763,0.512,0.463
2004-05,NOH,82,18,64,0.22,19930,2718,6556,2303,5240,415,1316,1401,1830,1019,2281,3300,1724,550,310,1217,1883,7252,0.415,0.44,0.315,0.766,0.493,0.446
2004-05,NYK,82,33,49,0.402,19880,2978,6599,2537,5359,441,1240,1580,2060,965,2393,3358,1665,629,260,1204,1942,7977,0.451,0.473,0.356,0.767,0.531,0.485
2004-05,SEA,82,52,30,0.634,19755,2882,6498,2216,4674,666,1824,1683,2131,1041,2311,3352,1487,553,338,1113,1944,8113,0.444,0.474,0.365,0.79,0.546,0.495
2004-05,ORL,82,36,46,0.439,19705,3034,6679,2714,5763,320,916,1772,2335,1038,2544,3582,1583,633,441,1322,1937,8160,0.454,0.471,0.349,0.759,0.529,0.478
2004-05,PHI,82,43,39,0.524,19855,2946,6736,2441,5283,505,1453,1731,2194,909,2536,3445,1710,756,321,1274,1878,8128,0.437,0.462,0.348,0.789,0.528,0.475
2004-05,PHO,82,62,20,0.756,19780,3351,7018,2555,4992,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,9054,0.477,0.512,0.393,0.748,0.571,0.534
2004-05,POR,82,27,55,0.329,19730,2896,6422,2476,5261,420,1161,1409,1944,970,2404,3374,1722,583,544,1308,1703,7621,0.451,0.471,0.362,0.725,0.524,0.484
2004-05,SAC,82,50,32,0.61,19855,3203,6978,2681,5582,522,1396,1577,2004,1023,2455,3478,2005,674,316,1073,1685,8505,0.459,0.48,0.374,0.787,0.541,0.496
2004-05,SAS,82,59,23,0.72,19805,2923,6450,2416,5055,507,1395,1535,2120,987,2489,3476,1771,613,543,1126,1717,7888,0.453,0.478,0.363,0.724,0.534,0.492
2004-05,TOR,82,33,49,0.402,19805,2952,6656,2304,4975,648,1681,1626,2101,844,2444,3288,1670,621,317,1087,1876,8178,0.444,0.463,0.385,0.774,0.539,0.492
2004-05,UTA,82,26,56,0.317,19780,2828,6301,2578,5539,250,762,1719,2272,1047,2243,3290,1826,541,374,1292,2189,7625,0.449,0.465,0.328,0.757,0.522,0.469
