,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2002-03,CBJ,82,29,42,8,3,69,213,71,12,2143,1479,263,60,9,2641,1547,17.3,85.3,410,409,-50,,,,,
2002-03,CGY,82,29,36,13,4,75,186,47,5,2341,1369,228,65,10,2222,1352,12.1,83.3,389,389,-42,,,,,
2002-03,CHI,82,30,33,13,6,79,207,39,8,2279,1159,226,56,8,2345,1000,12.7,84.8,308,369,-19,,,,,
2002-03,COL,82,42,19,13,8,105,251,68,5,2386,1062,194,63,6,2322,1085,18.7,82.5,363,359,57,,,,,
2002-03,DAL,82,46,17,15,4,111,245,62,9,2466,1142,169,50,6,2073,1144,19,85.5,327,346,76,,,,,
2002-03,DET,82,48,20,10,4,110,269,76,11,2441,1190,203,55,4,2361,1116,23.8,85.4,319,377,66,,,,,
2002-03,EDM,82,36,26,11,9,92,231,56,13,2292,1187,230,61,8,2248,1233,14.5,82.6,386,351,1,,,,,
2002-03,FLA,82,24,36,13,9,70,176,49,7,2229,1117,237,66,9,2724,1178,14.1,81.5,347,356,-61,,,,,
2002-03,LAK,82,33,36,6,7,79,203,52,8,2272,1098,221,62,4,2141,1092,14.7,83.3,354,371,-18,,,,,
2002-03,MIN,82,42,29,10,1,95,198,52,9,2086,1035,178,43,5,2335,1142,14.2,86,366,308,20,,,,,
2002-03,MTL,82,30,35,8,9,77,206,44,2,2119,878,234,58,6,2678,906,14,81.7,315,317,-28,,,,,
2002-03,NJD,82,46,20,10,6,108,216,36,7,2601,926,166,32,4,1933,920,11.9,87.9,303,264,50,,,,,
